sku,product_name_clean,brand,raw_category,normalized_category,condition_normalized,quantity,mrp,floor_price,amazon_price,real_price,wholesale_price,match_confidence,unreliable_match,discount_percentage,market_gap,sellability_score,risk_score,expected_revenue,expected_cost,acquisition_cost,platform_fee_pct,ancillary_revenue_fee_pct,platform_fee_amount,inspection_cost,transport_cost,return_rate,return_provision,expected_profit,expected_margin_pct,expected_roi_pct,scenario_roi_low,scenario_roi_median,scenario_roi_high,recommendation,confidence_gate_applied,reasoning,product_name,category,condition,lot_name,city,item_type,model,sub_model_variant,functional_status,packaging_status,remarks,keywords,enrichment_source,price_ratio,wholesale_gap,price_band,expected_sellable_qty,expected_sell_price
bb-8219-7450-85301d2e131d,Amazon Brand - Solimo Stainless Steel Bottles 970Ml Each 100 Food-Grade Bpa-Free Cap Leak & Spill Proof Ergonomic Grip For Home & Office Use,Amazon Brand - Solimo,Others > Sports and fitness > Fitness > Others,kitchen,not_tested,1,1899.0,332.0,1519.2,854.5500000000001,,1.0,False,82.52,61.15,82.0,37.0,516.58,661.0,348.6,0.155,0.04,108.31,50.0,150.0,0.07,11.66,-144.42,-27.96,55.6,-22.78,25.48,85.32,SKIP,False,sellability 82 ≥ 60; risk 37 ≤ 60; margin -28.0% below 15.0%; ROI 55.6% ≥ 25.0%; expected profit non-positive,"Amazon Brand - Solimo Stainless Steel Bottles (Set of 3) | 970ml Each | 100% Food-Grade | BPA-Free Cap | Leak & Spill Proof | Ergonomic Grip | For Home & Office Use (Yellow, Grey & Red)",kitchen,Not Tested,"Top Brand Misc, Water Bottle, Water Bottles & Other Products ll As is condition ll Amazon Inventory ll 47 Items ll Delhi & Bangalore & Mumbai ll 2842026 ll 16:126 AL || 100364",Bangalore,Water Bottle,,,As-Is-Condition,As-Is-Condition,,"['amazon', 'brand', 'solimo', 'stainless', 'steel', 'bottles', '970ml', 'each', '100', 'food-grade', 'bpa-free', 'cap', 'leak', 'spill', 'proof', 'ergonomic', 'grip', 'home', 'office', 'use']",mrp_heuristic,0.1748,,MID,0.65,854.55
bb-8219-14408-e21e34ddf2d9,Amazon Brand - Solimo Microwave Safe Two Compartment Lunch Box Set For Office With Bag Borosilicate Glass Safety Lock Airtight Tiffin Containers Transparent Slim Design,Amazon Brand - Solimo,Others > Kitchenware > Kitchen Storage > Lunch box,kitchen,not_tested,1,1299.0,227.0,1039.2,584.5500000000001,,1.0,False,82.53,61.17,82.0,37.0,353.36,515.23,238.35,0.155,0.04,74.09,50.0,150.0,0.07,7.98,-161.87,-45.81,55.67,-22.75,25.54,85.41,SKIP,False,sellability 82 ≥ 60; risk 37 ≤ 60; margin -45.8% below 15.0%; ROI 55.7% ≥ 25.0%; expected profit non-positive,Amazon Brand - Solimo Microwave Safe Two Compartment Lunch Box Set for Office with Bag | Borosilicate Glass | Safety Lock Airtight Tiffin Containers (900 ml) | Transparent | Slim Design,kitchen,Not Tested,"Top Brand Misc, Water Bottle, Water Bottles & Other Products ll As is condition ll Amazon Inventory ll 47 Items ll Delhi & Bangalore & Mumbai ll 2842026 ll 16:126 AL || 100364",Bangalore,Lunch Box,,,As-Is-Condition,As-Is-Condition,,"['amazon', 'brand', 'solimo', 'microwave', 'safe', 'two', 'compartment', 'lunch', 'box', 'office', 'bag', 'borosilicate', 'glass', 'safety', 'lock', 'airtight', 'tiffin', 'containers', 'transparent', 'slim', 'design']",mrp_heuristic,0.1747,,MID,0.65,584.55
bb-8219-17499-c951a47e625e,Amazon Brand - Solimo Microwave Safe Two Compartment Lunch Box Set For Office With Bag Borosilicate Glass Safety Lock Airtight Tiffin Containers Transparent Slim Design,Amazon Brand - Solimo,Others > Kitchenware > Kitchen Storage > Lunch box,kitchen,not_tested,1,1299.0,227.0,1039.2,584.5500000000001,,1.0,False,82.53,61.17,82.0,37.0,353.36,515.23,238.35,0.155,0.04,74.09,50.0,150.0,0.07,7.98,-161.87,-45.81,55.67,-22.75,25.54,85.41,SKIP,False,sellability 82 ≥ 60; risk 37 ≤ 60; margin -45.8% below 15.0%; ROI 55.7% ≥ 25.0%; expected profit non-positive,Amazon Brand - Solimo Microwave Safe Two Compartment Lunch Box Set for Office with Bag | Borosilicate Glass | Safety Lock Airtight Tiffin Containers (900 ml) | Transparent | Slim Design,kitchen,Not Tested,"Top Brand Misc, Water Bottle, Water Bottles & Other Products ll As is condition ll Amazon Inventory ll 47 Items ll Delhi & Bangalore & Mumbai ll 2842026 ll 16:126 AL || 100364",Bangalore,Lunch Box,,,As-Is-Condition,As-Is-Condition,,"['amazon', 'brand', 'solimo', 'microwave', 'safe', 'two', 'compartment', 'lunch', 'box', 'office', 'bag', 'borosilicate', 'glass', 'safety', 'lock', 'airtight', 'tiffin', 'containers', 'transparent', 'slim', 'design']",mrp_heuristic,0.1747,,MID,0.65,584.55
bb-8219-5542-51df37e59f62,Solimo Microwave Safe Two Compartment Lunch Box Set For Office Borosilicate Glass Safety Lock Airtight Tiffin Containers Transparent Slim Design,Amazon Brand - Solimo,Others > Kitchenware > Kitchen Storage > Lunch box,kitchen,not_tested,1,899.0,148.0,719.2,404.55,,1.0,False,83.54,63.42,82.0,37.0,244.55,408.61,155.4,0.155,0.04,51.28,50.0,150.0,0.07,5.52,-164.06,-67.09,65.24,-18.0,33.26,96.81,SKIP,False,sellability 82 ≥ 60; risk 37 ≤ 60; margin -67.1% below 15.0%; ROI 65.2% ≥ 25.0%; expected profit non-positive,Solimo Microwave Safe Two Compartment Lunch Box Set for Office|Borosilicate Glass|Safety Lock Airtight Tiffin Containers(540 Ml)|Transparent|Slim Design,kitchen,Not Tested,"Top Brand Misc, Water Bottle, Water Bottles & Other Products ll As is condition ll Amazon Inventory ll 47 Items ll Delhi & Bangalore & Mumbai ll 2842026 ll 16:126 AL || 100364",Bangalore,Lunch Box,,,As-Is-Condition,As-Is-Condition,,"['solimo', 'microwave', 'safe', 'two', 'compartment', 'lunch', 'box', 'office', 'borosilicate', 'glass', 'safety', 'lock', 'airtight', 'tiffin', 'containers', 'transparent', 'slim', 'design']",mrp_heuristic,0.1646,,MID,0.65,404.55
bb-8219-15031-1fcb71f6e609,Solimo Microwave Safe Two Compartment Lunch Box Set For Office Borosilicate Glass Safety Lock Airtight Tiffin Containers Transparent Slim Design,Amazon Brand - Solimo,Others > Kitchenware > Kitchen Storage > Lunch box,kitchen,not_tested,1,899.0,148.0,719.2,404.55,,1.0,False,83.54,63.42,82.0,37.0,244.55,408.61,155.4,0.155,0.04,51.28,50.0,150.0,0.07,5.52,-164.06,-67.09,65.24,-18.0,33.26,96.81,SKIP,False,sellability 82 ≥ 60; risk 37 ≤ 60; margin -67.1% below 15.0%; ROI 65.2% ≥ 25.0%; expected profit non-positive,Solimo Microwave Safe Two Compartment Lunch Box Set for Office|Borosilicate Glass|Safety Lock Airtight Tiffin Containers(540 Ml)|Transparent|Slim Design,kitchen,Not Tested,"Top Brand Misc, Water Bottle, Water Bottles & Other Products ll As is condition ll Amazon Inventory ll 47 Items ll Delhi & Bangalore & Mumbai ll 2842026 ll 16:126 AL || 100364",Bangalore,Lunch Box,,,As-Is-Condition,As-Is-Condition,,"['solimo', 'microwave', 'safe', 'two', 'compartment', 'lunch', 'box', 'office', 'borosilicate', 'glass', 'safety', 'lock', 'airtight', 'tiffin', 'containers', 'transparent', 'slim', 'design']",mrp_heuristic,0.1646,,MID,0.65,404.55
bb-8219-10325-e79cc9bf38c0,Amazon Brand - Solimo Borosilicate Glass Fridge Water Bottle Leak Proof Stainless Steel Jacketed Cap Toxin-Free Thermal Shock Resistant Odour Neutral Foam Cover,Amazon Brand - Solimo,Others > Kitchenware > Others,kitchen,not_tested,1,699.0,128.0,559.2,314.55,,1.0,False,81.69,59.31,81.77,37.0,190.15,375.77,134.4,0.155,0.04,39.87,50.0,150.0,0.07,4.29,-185.63,-97.62,48.55,-26.28,19.8,76.93,SKIP,False,sellability 82 ≥ 60; risk 37 ≤ 60; margin -97.6% below 15.0%; ROI 48.5% ≥ 25.0%; expected profit non-positive,Amazon Brand - Solimo Borosilicate Glass Fridge Water Bottle | Leak Proof | Stainless Steel Jacketed Cap | Toxin-Free | Thermal Shock Resistant | Odour Neutral | Foam Cover (750 ml),kitchen,Not Tested,"Top Brand Misc, Water Bottle, Water Bottles & Other Products ll As is condition ll Amazon Inventory ll 47 Items ll Delhi & Bangalore & Mumbai ll 2842026 ll 16:126 AL || 100364",Bangalore,Misc,,,As-Is-Condition,As-Is-Condition,,"['amazon', 'brand', 'solimo', 'borosilicate', 'glass', 'fridge', 'water', 'bottle', 'leak', 'proof', 'stainless', 'steel', 'jacketed', 'cap', 'toxin-free', 'thermal', 'shock', 'resistant', 'odour', 'neutral', 'foam', 'cover']",mrp_heuristic,0.1831,,MID,0.65,314.55
bb-8219-14655-3f59b2c67b06,Amazon Brand - Solimo Borosilicate Glass Fridge Water Bottle Leak Proof Stainless Steel Jacketed Cap Toxin-Free Thermal Shock Resistant Odour Neutral Foam Cover,Amazon Brand - Solimo,Others > Kitchenware > Others,kitchen,not_tested,1,699.0,128.0,559.2,314.55,,1.0,False,81.69,59.31,81.77,37.0,190.15,375.77,134.4,0.155,0.04,39.87,50.0,150.0,0.07,4.29,-185.63,-97.62,48.55,-26.28,19.8,76.93,SKIP,False,sellability 82 ≥ 60; risk 37 ≤ 60; margin -97.6% below 15.0%; ROI 48.5% ≥ 25.0%; expected profit non-positive,Amazon Brand - Solimo Borosilicate Glass Fridge Water Bottle | Leak Proof | Stainless Steel Jacketed Cap | Toxin-Free | Thermal Shock Resistant | Odour Neutral | Foam Cover (750 ml),kitchen,Not Tested,"Top Brand Misc, Water Bottle, Water Bottles & Other Products ll As is condition ll Amazon Inventory ll 47 Items ll Delhi & Bangalore & Mumbai ll 2842026 ll 16:126 AL || 100364",Bangalore,Misc,,,As-Is-Condition,As-Is-Condition,,"['amazon', 'brand', 'solimo', 'borosilicate', 'glass', 'fridge', 'water', 'bottle', 'leak', 'proof', 'stainless', 'steel', 'jacketed', 'cap', 'toxin-free', 'thermal', 'shock', 'resistant', 'odour', 'neutral', 'foam', 'cover']",mrp_heuristic,0.1831,,MID,0.65,314.55
bb-8219-16502-49fbcca08bab,Amazon Brand - Solimo Borosilicate Glass Fridge Water Bottle Leak Proof Stainless Steel Jacketed Cap Toxin-Free Thermal Shock Resistant Odour Neutral Foam Cover,Amazon Brand - Solimo,Others > Kitchenware > Others,kitchen,not_tested,1,699.0,128.0,559.2,314.55,,1.0,False,81.69,59.31,81.77,37.0,190.15,375.77,134.4,0.155,0.04,39.87,50.0,150.0,0.07,4.29,-185.63,-97.62,48.55,-26.28,19.8,76.93,SKIP,False,sellability 82 ≥ 60; risk 37 ≤ 60; margin -97.6% below 15.0%; ROI 48.5% ≥ 25.0%; expected profit non-positive,Amazon Brand - Solimo Borosilicate Glass Fridge Water Bottle | Leak Proof | Stainless Steel Jacketed Cap | Toxin-Free | Thermal Shock Resistant | Odour Neutral | Foam Cover (750 ml),kitchen,Not Tested,"Top Brand Misc, Water Bottle, Water Bottles & Other Products ll As is condition ll Amazon Inventory ll 47 Items ll Delhi & Bangalore & Mumbai ll 2842026 ll 16:126 AL || 100364",Bangalore,Misc,,,As-Is-Condition,As-Is-Condition,,"['amazon', 'brand', 'solimo', 'borosilicate', 'glass', 'fridge', 'water', 'bottle', 'leak', 'proof', 'stainless', 'steel', 'jacketed', 'cap', 'toxin-free', 'thermal', 'shock', 'resistant', 'odour', 'neutral', 'foam', 'cover']",mrp_heuristic,0.1831,,MID,0.65,314.55
bb-8219-2912-7613a626c462,Amazon Brand - Solimo Borosilicate Glass Fridge Water Bottle Leak Proof Stainless Steel Jacketed Cap Toxin-Free Thermal Shock Resistant Odour Neutral Foam Cover,Amazon Brand - Solimo,Others > Kitchenware > Others,kitchen,not_tested,1,799.0,150.0,639.2,359.55,,1.0,False,81.23,58.28,81.43,37.0,217.35,404.79,157.5,0.155,0.04,45.57,50.0,150.0,0.07,4.91,-187.44,-86.24,44.9,-28.09,16.85,72.58,SKIP,False,sellability 81 ≥ 60; risk 37 ≤ 60; margin -86.2% below 15.0%; ROI 44.9% ≥ 25.0%; expected profit non-positive,Amazon Brand - Solimo Borosilicate Glass Fridge Water Bottle | Leak Proof | Stainless Steel Jacketed Cap | Toxin-Free | Thermal Shock Resistant | Odour Neutral | Foam Cover (1000 ml),kitchen,Not Tested,"Top Brand Misc, Water Bottle, Water Bottles & Other Products ll As is condition ll Amazon Inventory ll 47 Items ll Delhi & Bangalore & Mumbai ll 2842026 ll 16:126 AL || 100364",Bangalore,Misc,,,As-Is-Condition,As-Is-Condition,,"['amazon', 'brand', 'solimo', 'borosilicate', 'glass', 'fridge', 'water', 'bottle', 'leak', 'proof', 'stainless', 'steel', 'jacketed', 'cap', 'toxin-free', 'thermal', 'shock', 'resistant', 'odour', 'neutral', 'foam', 'cover']",mrp_heuristic,0.1877,,MID,0.65,359.55
bb-8219-6774-01654457dbc9,Amazon Brand - Solimo Copper Leak-Proof Powder Coating Sipper Bottles 950 Ml Pure Copper Coca Cola Color Daily Wellness Sipper Bottle,Amazon Brand - Solimo,Others > Kitchenware > Others,kitchen,not_tested,1,1499.0,283.0,1199.2,674.5500000000001,,1.0,False,81.12,58.05,81.35,37.0,407.77,585.87,297.15,0.155,0.04,85.5,50.0,150.0,0.07,9.21,-178.11,-43.68,44.09,-28.49,16.2,71.62,SKIP,False,sellability 81 ≥ 60; risk 37 ≤ 60; margin -43.7% below 15.0%; ROI 44.1% ≥ 25.0%; expected profit non-positive,Amazon Brand - Solimo Copper Leak-Proof Powder Coating Sipper Bottles | 950 ml | Pure Copper | Coca Cola Color | Daily Wellness Sipper Bottle,kitchen,Not Tested,"Top Brand Misc, Water Bottle, Water Bottles & Other Products ll As is condition ll Amazon Inventory ll 47 Items ll Delhi & Bangalore & Mumbai ll 2842026 ll 16:126 AL || 100364",Bangalore,Misc,,,As-Is-Condition,As-Is-Condition,,"['amazon', 'brand', 'solimo', 'copper', 'leak-proof', 'powder', 'coating', 'sipper', 'bottles', '950', 'pure', 'coca', 'cola', 'daily', 'wellness', 'bottle']",mrp_heuristic,0.1888,,MID,0.65,674.55
